municipality;geocode;Disease_Burden
Taguatinga;1720903;433
Tailândia;1507953;9757
Taipas do Tocantins;1720937;36
Talismã;1720978;39
Tangará da Serra;5107958;2370
Tapauá;1304104;28459
Tapurah;5108006;713
Tarauacá;1200609;21776
Tartarugalzinho;1600709;11234
Tasso Fragoso;2112001;70
Tefé;1304203;74444
Teixeirópolis;1101559;538
Terra Alta;1507961;83
Terra Nova do Norte;5108055;534
Terra Santa;1507979;345
Tesouro;5108105;53
Theobroma;1101609;9806
Timbiras;2112100;234
Tocantinópolis;1721208;1540
Tocantínia;1721109;373
Tomé-Açu;1508001;2376
Tonantins;1304237;882
Torixoréu;5108204;60
Tracuateua;1508035;1438
